id,name,name_en,order_id,existence,full_name,description,early_round_type,later_round_type
0,'全日程終了',finished,0,1,'','','',''
1,'高校男子実戦',zissen_man,1,1,'高校生 男子個人実戦競技','2級以上　胴プロテクターは全員着用厳守　　面プロテクターは級位は着用厳守・初段以上は任意|予選：1分３０秒（延長なし）　　決勝・三位決定戦　１分３０秒（延長あり）','',''
2,'高校男子法形',hokei_man,3,1,'高校生 男子個人法形競技','2級以上 　・1.2回戦＝変体の法形 ・3回戦以降＝体から自由選択','変体','自由法形'
3,'高校女子実戦',zissen_woman,2,1,'高校生 女子個人実戦競技','2級以上　胴プロテクターは全員着用厳守　　面プロテクターは級位は着用厳守・初段以上は任意|予選：1分３０秒（延長なし）　　決勝・三位決定戦　１分３０秒（延長あり）','',''
4,'高校女子法形',hokei_woman,4,1,'高校生 女子個人法形競技','2級以上 　・1.2回戦＝変陰の法形 ・3回戦以降＝陰から自由選択','変陰','自由法形'
5,'壮年法形',hokei_sonen,5,0,'壮年法形競技','1.2 回戦勢命(表のみ)、3 回戦以降 活命・延命から選択','',''
6,'女子団体実戦',dantai_zissen_woman,6,0,'女子団体実戦競技','試合時間 1分30秒','',''
7,'団体実戦',dantai_zissen_man,17,1,'男子団体実戦競技','中階 4 級以上 　１チーム　５名　男子のみ（中学生 2 名・小学高学年 3 名）　|試合時間　中学生 1 分 30 秒・小学生 1 分　　　予選・決勝全て','',''
8,'男子団体法形',dantai_hokei_man,8,0,'男子団体法形競技','','',''
9,'女子団体法形',dantai_hokei_woman,9,0,'女子団体法形競技','','',''
10,'男子団体展開',tenkai_man,10,0,'男子団体展開競技','','',''
11,'女子団体展開',tenkai_woman,11,0,'女子団体展開競技','','',''
12,'個人法形(新人の部)',hokei_newcommer,12,0,'個人法形(新人の部)','','',''
13,'男子級位実戦',zissen_kyuui_man,13,0,'男子級位実戦','','',''
14,'男子級位法形',hokei_kyuui_man,14,0,'男子級位法形','','',''
15,'女子級位実戦',zissen_kyuui_woman,15,0,'女子級位実戦','','',''
16,'女子級位法形',hokei_kyuui_woman,16,0,'女子級位法形','','',''
17,'団体実戦',dantai_zissen,17,0,'団体実戦','','',''
18,'団体法形',dantai_hokei,18,1,'団体法形競技','初階５級以上　　1 チーム 5 名　男女混合可　　体・陰から自由選択','',''
19,'展開',tenkai,19,1,'展開競技','初階５級以上　　 1 チーム 6 名　男女混合可　背番号着用','',''
20,'高校級位法形',hokei_kyuui,20,5,'高校生 級位個人法形','3．4級　　 男子：旋体・運体・変体から選択|　　　　　女子：旋陰・運陰・変陰から選択','旋・運・変','旋・運・変'
21,'個人実戦(壮年の部) 男子',zissen_sonen_man,21,0,'個人実戦(壮年の部) 男子','','',''
22,'個人実戦(壮年の部) 女子',zissen_sonen_woman,22,0,'個人実戦(壮年の部) 女子','','',''
23,'個人法形(制の法形)',hokei_sei,23,0,'個人法形(制の法形)','','',''
24,'個人法形(命) 有段者の部',hokei_mei,24,0,'個人法形(命) 有段者の部','','',''
25,'個人法形(命) 新人/級位の部',hokei_mei_kyuui_newcommer,25,0,'個人法形(命) 新人/級位の部','','',''
26,'新人団体法形',dantai_hokei_newcommer,9,0,'新人団体法形競技','旋体・旋陰から選択 令和 6年 4 月以降に躰道部に入部した 5 級以下の男女|1 チーム 5 名（ 4 名以下不可）　旋体の場合は男子 3 名以上、旋陰の場合は女子 3 名以上の人員構成とする','',''
27,'男子法形(小低)',lower_grades_hokei_man,13,1,'男子個人法形競技(小学校低学年の部)','初階5級以上　　1.2回戦　旋体　3回戦以降、旋体・運体から選択','旋','旋・運'
28,'女子法形(小低)',lower_grades_hokei_woman,16,1,'女子個人法形競技(小学校低学年の部)','初階5級以上　　1.2回戦　旋陰　3回戦以降、旋陰・運陰から選択','旋','旋・運'
29,'男子実戦(小高)',higher_grades_zissen_man,7,1,'男子個人実戦競技(小学校高学年の部)','中階4級以上　　面ピット・プロテクター着用厳守　　試合時間1分　　予選・決勝全て','',''
30,'男子法形(小高)',higher_grades_hokei_man,12,1,'男子個人法形競技(小学校高学年の部)','中階5級以上　　1.2回戦　旋体・運体から選択　3回戦以降、旋体・運体・変体から選択','旋・運','旋・運・変'
31,'女子実戦(小高)',higher_grades_zissen_woman,9,1,'女子個人実戦競技(小学校高学年の部)','中階4級以上　　面ピット・プロテクター着用厳守　　試合時間1分　　予選・決勝全て','',''
32,'女子法形(小高)',higher_grades_hokei_woman,15,1,'女子個人法形競技(小学校高学年の部)','中階5級以上　　1.2回戦　旋陰・運陰から選択　3回戦以降、旋陰・運陰・変陰から選択','旋・運','旋・運・変'
33,'男子実戦(中学)',junior_high_zissen_man,6,1,'男子個人実戦競技(中学生の部)','上階4級以上　　面ピット・プロテクター着用厳守　　試合時間1分30秒　　予選・決勝全て','',''
34,'男子法形(中学)',junior_high_hokei_man,10,1,'男子個人法形競技(中学生の部)','上階5級以上　　1.2回戦　旋体・運体・変体から選択 3回戦以降、体の法形から自由選択','旋・運・変','自由法形'
35,'女子実戦(中学)',junior_high_zissen_woman,8,1,'女子個人実戦競技(中学生の部)','上階4級以上　　面ピット・プロテクター着用厳守　　試合時間1分30秒　　予選・決勝全て','',''
36,'女子法形(中学)',junior_high_hokei_woman,14,1,'女子個人法形競技(中学生の部)','上階5級以上　　1.2回戦　旋陰・運陰・変陰から選択 3回戦以降、陰の法形から自由選択','旋・運・変','自由法形'
